tokenID	talker	consonant	repetition	place	voicing	vowel	closureDur	closureInt	burstInt
212	2	g	5	velar	voiced	a	0.07055089	67.68286188	71.89404149
213	11	k	6	velar	voiceless	&	0.065531755	54.60993939	62.97902519
214	1	b	3	bilabial	voiced	i	0.111265847	64.43592313	69.37199145
215	3	d	6	alveolar	voiced	a	0.024111056	75.70575369	78.03282281
216	2	t	2	alveolar	voiceless	u	0.094713414	65.17413586	72.73669851
217	11	k	2	velar	voiceless	a	0.08586796	55.44679739	68.8140323
218	10	b	5	bilabial	voiced	a	0.057547755	67.40281727	70.40015842
219	9	t	4	alveolar	voiceless	i	0.037500417	66.60602383	66.22367986
220	8	g	4	velar	voiced	&	0.036344832	74.04992409	76.51278628
221	6	t	2	alveolar	voiceless	&	0.065388751	72.36073153	71.90350484
222	5	b	5	bilabial	voiced	u	0.061715136	71.88775843	74.74538982
223	2	t	6	alveolar	voiceless	a	0.075034663	63.94846487	73.48169165
224	6	p	3	bilabial	voiceless	a	0.07771045	74.02582086	71.14249852
225	6	g	1	velar	voiced	a	0.068133554	67.64578599	68.39494519
226	3	b	4	bilabial	voiced	a	0.04678892	69.70885617	73.98296238
227	11	k	1	velar	voiceless	u	0.08019078	68.36647642	70.36642032
228	4	k	4	velar	voiceless	u	0.03998194	62.9050707	56.41021498
229	3	d	1	alveolar	voiced	&	0.01105871	72.41902536	72.83330377
230	5	d	6	alveolar	voiced	u	0.053857574	67.83066903	74.48917762
231	5	t	5	alveolar	voiceless	a	0.037893127	58.70396826	49.97394498
232	6	d	3	alveolar	voiced	&	0.033900227	70.68013782	68.89572448
233	4	p	5	bilabial	voiceless	i	0.083266579	64.69436347	70.98241487
234	1	b	6	bilabial	voiced	&	0.053095079	71.87585501	77.56023694
235	8	k	5	velar	voiceless	i	0.040421272	63.56446847	50.90973645
236	12	t	5	alveolar	voiceless	&	0.057293269	61.64136924	59.50171298
237	12	b	3	bilabial	voiced	&	0.058369555	68.11064226	72.9977796
238	12	d	6	alveolar	voiced	i	0.023083563	66.22365761	68.48281632
239	1	g	6	velar	voiced	&	0.050981659	70.84436358	73.07822785
240	1	d	3	alveolar	voiced	&	0.049914576	73.26207909	74.02516896
241	3	p	2	bilabial	voiceless	&	0.068181412	66.82259411	66.76101017
242	4	p	3	bilabial	voiceless	a	0.055850536	64.73898188	69.04750912
243	1	k	4	velar	voiceless	u	0.048757222	64.89697162	59.94378082
244	4	b	1	bilabial	voiced	a	0.048336975	77.14366302	80.28264245
245	3	k	4	velar	voiceless	&	0.016445738	69.60899663	62.50289739
246	9	b	6	bilabial	voiced	i	0.043937954	75.44438487	80.64768809
247	1	t	4	alveolar	voiceless	u	0.102475074	62.46981395	70.85857769
248	1	k	2	velar	voiceless	i	0.164082086	57.63581189	69.05829183
249	2	b	4	bilabial	voiced	u	0.116195336	74.31534699	74.96154759
250	5	d	1	alveolar	voiced	&	0.043720733	69.85959864	74.34753292
251	1	b	5	bilabial	voiced	a	0.114155839	71.72178765	77.58717134
252	8	g	5	velar	voiced	a	0.057788331	70.3157722	69.43247257
253	8	k	2	velar	voiceless	a	0.058202933	58.13217432	65.90097062
254	11	p	4	bilabial	voiceless	&	0.093404889	67.00395445	81.29758529
255	10	t	2	alveolar	voiceless	u	0.045896792	59.03988751	61.01246408
256	6	p	6	bilabial	voiceless	u	0.055792602	64.52867241	64.71621675
257	10	g	6	velar	voiced	u	0.030236544	68.34313171	70.37279797
258	10	k	6	velar	voiceless	&	0.096049438	63.39239009	73.00574037
259	6	g	4	velar	voiced	i	0.063153687	55.39383166	60.32883165
260	4	t	2	alveolar	voiceless	u	0.079729246	63.74691835	59.13099718
261	11	t	4	alveolar	voiceless	i	0.064911747	60.85574657	63.66076795
262	8	g	5	velar	voiced	i	0.037588211	72.51299518	64.81940782
263	10	d	4	alveolar	voiced	u	0.044815975	68.49687519	71.45083503
264	9	b	2	bilabial	voiced	a	0.071467833	71.29331443	74.33167783
265	10	g	6	velar	voiced	&	0.035891727	68.68899346	70.01981234
266	4	t	5	alveolar	voiceless	a	0.049733858	63.14057792	62.88422433
267	6	p	3	bilabial	voiceless	u	0.052919786	61.52969654	64.85171936
268	5	t	2	alveolar	voiceless	a	0.07002527	57.31805915	57.75459739
269	1	b	1	bilabial	voiced	u	0.112688995	71.13718788	82.95032104
270	5	t	2	alveolar	voiceless	a	0.063166195	59.05237162	60.36770198
271	6	k	4	velar	voiceless	&	0.070125814	64.91046938	70.87369046
272	5	g	6	velar	voiced	a	0.036225267	72.9933361	75.46031178
273	8	b	4	bilabial	voiced	&	0.060857091	65.83952316	72.55957404
274	11	t	3	alveolar	voiceless	&	0.051390606	60.43865694	63.06454591
275	10	k	5	velar	voiceless	a	0.037933615	53.14032927	48.60261308
276	1	t	1	alveolar	voiceless	a	0.081425419	62.88669799	67.12682215
277	1	d	4	alveolar	voiced	&	0.020285146	74.71884336	75.42735161
278	9	d	1	alveolar	voiced	i	0.035552727	70.52127267	77.50101121
279	2	k	3	velar	voiceless	i	0.102754075	50.49304702	64.48990735
280	10	b	3	bilabial	voiced	i	0.057822084	67.00948738	72.96074269
281	1	d	3	alveolar	voiced	u	0.072717531	69.23356105	73.63613612
282	3	k	1	velar	voiceless	&	0.044819548	64.71777006	65.49428308
283	4	k	5	velar	voiceless	a	0.046126863	55.70347878	47.88580696
284	3	p	1	bilabial	voiceless	u	0.058228923	64.39247965	61.90874254
285	10	d	3	alveolar	voiced	u	0.042331245	68.79483279	72.84432426
286	2	k	6	velar	voiceless	u	0.093410713	62.53586621	59.98599439
287	5	d	6	alveolar	voiced	a	0.037586105	71.20395477	75.04632865
288	11	g	3	velar	voiced	&	0.045810131	62.2774292	61.51487381
289	2	b	4	bilabial	voiced	i	0.09381383	68.13501849	71.88026149
290	5	k	2	velar	voiceless	&	0.097147522	64.23308025	76.64320102
291	5	d	5	alveolar	voiced	&	0.05221927	66.28330953	74.95586041
