time	distance	voltage
254	3	2.171809763
258	3	2.23253839
262	3	2.279756809
266	3	2.355349515
270	3	2.494790522
274	3	2.655516864
278	3	2.774056143
282	3	2.894544858
286	3	3.03543996
290	3	3.194587883
294	3	3.354836263
298	3	3.501400549
302	3	3.646708383
306	3	3.847332976
310	3	4.017772017
314	3	4.246034218
318	3	4.508055326
322	3	4.775627375
326	3	4.997767171
330	3	5.19419187
334	3	5.396263834
338	3	5.646027125
342	3	5.843999184
346	3	5.979745503
350	3	6.023785477
354	3	6.101866431
358	3	6.207639686
362	3	6.270738564
366	3	6.293042365
370	3	6.364797237
374	3	6.436477809
378	3	6.520221219
382	3	6.621392429
386	3	6.740609403
390	3	6.873464628
394	3	7.005877714
398	3	7.09161052
402	3	7.157869906
406	3	7.257051541
410	3	7.345374122
414	3	7.382043638
418	3	7.432996893
422	3	7.479534444
426	3	7.469788934
430	3	7.500566995
434	3	7.515270852
438	3	7.535254015
442	3	7.58832501
446	3	7.592507094
450	3	7.583687605
454	3	7.647320028
458	3	7.654439339
462	3	7.62667314
466	3	7.565101661
470	3	7.497198528
474	3	7.473329852
478	3	7.419231153
482	3	7.344254827
486	3	7.341664648
490	3	7.358081878
494	3	7.357291648
498	3	7.318643913
502	3	7.266279781
506	3	7.272904372
510	3	7.267143735
514	3	7.252660597
518	3	7.256208214
522	3	7.276923444
526	3	7.305747439
530	3	7.328362974
534	3	7.327901418
538	3	7.350003051
542	3	7.325304097
546	3	7.26261073
550	3	7.216227337
554	3	7.199396454
558	3	7.14751074
562	3	7.109032755
566	3	7.047712398
570	3	7.012193648
574	3	6.997072209
578	3	6.932695219
582	3	6.799243561
586	3	6.695349862
590	3	6.617517273
594	3	6.559303676
598	3	6.457508319
602	3	6.36277787
606	3	6.300537615
610	3	6.276996503
614	3	6.217522523
618	3	6.092227829
622	3	5.951170949
626	3	5.870506842
630	3	5.785166791
634	3	5.655485117
638	3	5.553965872
642	3	5.492934628
646	3	5.420152191
650	3	5.34185887
654	3	5.230019395
658	3	5.111217844
662	3	5.044816747
666	3	4.937259582
670	3	4.799866872
674	3	4.719007714
678	3	4.638174559
682	3	4.527640385
686	3	4.409715533
690	3	4.300640497
694	3	4.209249015
698	3	4.150225878
702	3	4.05413598
706	3	3.959067041
710	3	3.908898668
714	3	3.863884281
718	3	3.802551806
722	3	3.765514306
726	3	3.729043821
730	3	3.690223168
734	3	3.674851015
738	3	3.629489658
742	3	3.568184003
746	3	3.49807538
750	3	3.389465482
754	3	3.231005741
758	3	3.116610253
762	3	2.984211654
766	3	2.848535899
770	3	2.762591095
774	3	2.675966383
