subject	vot	targetVoicing	continuum	taskRelevance	n1Amplitude	n1Latency	countTargetResponse
17	20	voiced	alveolar	TRUE	-0.90394	74	29
17	20	voiceless	bilabial	FALSE	-5.7712	98	1
17	20	voiceless	bilabial	TRUE	-5.9188	94	24
17	20	voiceless	alveolar	FALSE	-1.5173	106	0
17	20	voiceless	alveolar	TRUE	-3.6617	58	21
17	25	voiced	bilabial	FALSE	-5.2389	66	0
17	25	voiced	bilabial	TRUE	-3.9362	74	13
17	25	voiced	alveolar	FALSE	-3.1946	66	0
17	25	voiced	alveolar	TRUE	-2.9201	106	9
17	25	voiceless	bilabial	FALSE	-3.4156	82	0
17	25	voiceless	bilabial	TRUE	-7.1557	90	27
17	25	voiceless	alveolar	FALSE	-1.2884	110	0
17	25	voiceless	alveolar	TRUE	-3.2039	66	30
17	30	voiced	bilabial	FALSE	-7.6115	42	0
17	30	voiced	bilabial	TRUE	-5.3399	58	3
17	30	voiced	alveolar	FALSE	-4.226	86	0
17	30	voiced	alveolar	TRUE	1.461	118	3
17	30	voiceless	bilabial	FALSE	-4.5076	82	0
17	30	voiceless	bilabial	TRUE	-4.3994	86	32
17	30	voiceless	alveolar	FALSE	-2.2686	66	0
17	30	voiceless	alveolar	TRUE	-4.8892	114	35
17	35	voiced	bilabial	FALSE	-7.6853	62	0
